ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
7494,Code inconnu: Récit incomplet de divers voyages,2000,7.2,Drama,10176,Michael Haneke,118,0.1
7511,Days of Wine and Roses,1962,7.9,Drama,10118,Blake Edwards,117,NA
7541,Still Walking,2008,8,Drama,10041,Hirokazu Koreeda,115,0.16
7546,Il capitale umano,2013,7.3,Drama,10013,Paolo Virzì,111,0.16
7583,Savage Grace,2007,5.9,Drama,9920,Tom Kalin,97,0.43
7608,The Babysitters,2007,5.7,Drama,9858,David Ross,88,0.04
7609,Oliver Twist,1948,7.8,Drama,9856,David Lean,116,NA
7614,Skammen,1968,8,Drama,9851,Ingmar Bergman,103,NA
7629,Two-Lane Blacktop,1971,7.3,Drama,9820,Monte Hellman,102,NA
7639,Mulk,2018,5.9,Drama,9798,Anubhav Sinha,140,NA
7641,Dog Pound,2010,7,Drama,9796,Kim Chapiron,91,NA
7669,Ostrov,2006,8,Drama,9733,Pavel Lungin,112,NA
7675,God's Not Dead 2,2016,4.4,Drama,9717,Harold Cronk,120,20.77
7678,Carnal Knowledge,1971,7,Drama,9711,Mike Nichols,98,28.62
7717,The Night Porter,1974,6.8,Drama,9608,Liliana Cavani,118,NA
7730,The Night of the Iguana,1964,7.8,Drama,9572,John Huston,125,NA
7741,My Life,1993,6.8,Drama,9536,Bruce Joel Rubin,117,27.48
7744,Iklimler,2006,7.3,Drama,9531,Nuri Bilge Ceylan,101,0.12
7757,Certain Women,2016,6.3,Drama,9515,Kelly Reichardt,107,1.03
7769,Una giornata particolare,1977,8.1,Drama,9481,Ettore Scola,106,NA
7772,The Boys Are Back,2009,6.9,Drama,9473,Scott Hicks,104,0.81
7784,Spare Parts,2015,7.3,Drama,9422,Sean McNamara,114,3.61
7790,Stage Beauty,2004,7.2,Drama,9406,Richard Eyre,106,0.78
7812,Ginger & Rosa,2012,6.3,Drama,9345,Sally Potter,90,1.01
7824,À Ma Soeur!,2001,6.5,Drama,9330,Catherine Breillat,81,0.72
7843,Apur Sansar,1959,8.3,Drama,9274,Satyajit Ray,105,0.02
7848,Kader,2006,7.9,Drama,9260,Zeki Demirkubuz,103,NA
7856,L'avenir,2016,7,Drama,9233,Mia Hansen-Løve,102,0.28
7907,120 BPM (Beats Per Minute),2017,7.5,Drama,9101,Robin Campillo,143,0.13
7910,Thirteen Conversations About One Thing,2001,7.1,Drama,9099,Jill Sprecher,104,3.29
7918,"Je vais bien, ne t'en fais pas",2006,7.4,Drama,9085,Philippe Lioret,92,NA
7926,Aparajito,1956,8.2,Drama,9060,Satyajit Ray,110,0.17
7927,Places in the Heart,1984,7.3,Drama,9057,Robert Benton,111,34.9
7957,Norma Rae,1979,7.4,Drama,8988,Martin Ritt,114,22.23
7964,Cherry,2012,4.8,Drama,8979,Stephen Elliott,98,0
7966,Elmer Gantry,1960,7.8,Drama,8973,Richard Brooks,146,11.34
7969,All or Nothing,2002,7.6,Drama,8972,Mike Leigh,128,0.12
7979,La flor de mi secreto,1995,7.1,Drama,8948,Pedro Almodóvar,103,1.16
7990,Pelle the Conqueror,1987,7.8,Drama,8928,Bille August,157,2.05
7992,Devrim Arabalari,2008,8,Drama,8927,Tolga Örnek,115,NA
8005,Blue Jay,2016,7.3,Drama,8906,Alex Lehmann,80,0.01
8010,Romance,1999,5.3,Drama,8900,Catherine Breillat,84,1.28
8041,Happy End,2017,6.8,Drama,8856,Michael Haneke,107,0.3
8055,Manic,2001,7.4,Drama,8822,Jordan Melamed,100,0.07
8064,Written on the Wind,1956,7.5,Drama,8808,Douglas Sirk,99,NA
8065,Samurai Rebellion,1967,8.4,Drama,8807,Masaki Kobayashi,128,NA
8083,The War Zone,1999,7.4,Drama,8782,Tim Roth,98,0.25
8089,Like Someone in Love,2012,7,Drama,8769,Abbas Kiarostami,109,0.22
8109,The Wanderers,1979,7.4,Drama,8724,Philip Kaufman,112,0.01
8139,"The Long, Hot Summer",1958,7.5,Drama,8653,Martin Ritt,115,NA
8154,Khuda Kay Liye,2007,8.4,Drama,8627,Shoaib Mansoor,168,NA
